"cuny_subject","short_title"
"BUSI","Bus Strategy Policy"
"BUSI","Business Communications"
"BUSI","Business Ethics"
"BUSI","Business Law I"
"BUSI","Business Law II"
"BUSI","Business Pol & Strat"
"BUSI","Business Statistics"
"BUSI","Business Writing"
"BUSI","Cobol"
"BUSI","Computer & Informati"
"BUSI","Cost Accounting"
"BUSI","Decision Theory"
"BUSI","Entrepreneurial Launch"
"BUSI","Entrepreneurship Public Policy"
"BUSI","Entrepreneurship and Commercia"
"BUSI","Field Experience"
"BUSI","Financial Management"
"BUSI","Independent Study"
"BUSI","Industrial Relation"
"BUSI","Industrial Relations"
"BUSI","Insurance"
"BUSI","International Business"
"BUSI","Intro To Business Ma"
"BUSI","Intro To Marketing"
"BUSI","Introduction To Business"
"BUSI","Introduction to Entrepreneursh"
"BUSI","Keyboarding"
"BUSI","Managerial Accountin"
"BUSI","Mar Princ Of Adverti"
"BUSI","Marketing Logistics"
"BUSI","Money And Banking"
"BUSI","Pl/I"
"BUSI","Pl/I Programming"
"BUSI","Small Business Management"
"BUSI","Systems Development"
"BUSI","Taxation"
"BUSI","Traffic Management"
"CHEM","Adv. Org. Chm. Lab"
"CHEM","Advanced Organic Chemistry"
"CHEM","Basic Chemistry"
"CHEM","Bio Chem Lab I"
"CHEM","Biochemistry"
"CHEM","Biochemistry Ii Lab"
"CHEM","CHM LAB ELECTIVE"
"CHEM","Cannabis Chemical Pharmacology"
"CHEM","Cannabis Internship"
"CHEM","Cannabis Medicine/Health Prof"
"CHEM","Cannabis Product Formulatio"
"CHEM","Cannabis Product Testing"
"CHEM","Chem Health Prf II L"
"CHEM","Chem Health Prof I"
"CHEM","Chem Health Prof I L"
"CHEM","Chem Health Prof II"
"CHEM","Chem Health Profess I"
"CHEM","Chem Helath Prf II L"
"CHEM","Chem Hlth Prof I Lab"
"CHEM","Chem Hlth Prof II"
"CHEM","Chemistry"
"CHEM","Chemistry and Our World"
"CHEM","Commercializing Cannabis Scien"
"CHEM","Dispensary Std Operating Proc"
"CHEM","Envs Org. Chm Lab"
"CHEM","Envs. Organic Chm."
"CHEM","Gen Chemistry I Lab"
"CHEM","Gen Chemistry II Lab"
"CHEM","Gen Chm I Workshop"
"CHEM","Gen Chm II Workshop"
"CHEM","General Chemistry I"
"CHEM","General Chemistry II"
"CHEM","Inorganic Chem Lab I"
"CHEM","Inorganic Chemistry I"
"CHEM","Inorganic Chemistry II"
"CHEM","Inorganic Chm III"
"CHEM","Inorganic Chm III/Lab"
"CHEM","Inorganic Chm Ii Lab"
"CHEM","Introduction/World of Cannabis"
"CHEM","NY Cannabis Dispensary 101"
"CHEM","Nursing In The Inner"
"CHEM","Org/Chm II Workshop"
"CHEM","Organic Chem II Lab"
"CHEM","Organic Chemistry I"
"CHEM","Organic Chemistry I Lab"
"CHEM","Organic Chemistry II"
"CHEM","Organic Chm I Worksh"
"CHEM","Physical Chemistry I"
"CHEM","Physical Chemistry II"
"CHEM","Quantit Analysis Lab"
"CHEM","Quantitative An"
"CHEM","Quantitative Analysi"
"CHEM","Quantitative Analysis"
"CHEM","Spectrometric Id/Org"
"CHIN","Chinese (Mandarin) Beg I LAB"
"CHIN","Chinese (Mandarin) Beg II LAB"
"CHIN","Chinese (Mandarin) Beginner I"
"CHIN","Chinese (Mandarin) Beginner II"
"CMAP","Assembler Lang"
"CMAP","Computer Concepts"
"CMAP","Discrete Structures"
"CMAP","Fortran Program"
"CMAP","Intro Computer"
"CMAP","Microcomputers"
"CMAP","Pascal Program"
"CMAP","Pl/I Programming"
"CMIS","Adv Internet & Emerg"
"CMIS","Adv System Develpmnt & Implmnt"
"CMIS","Advanced Programming"
"CMIS","Applied Systems Development"
"CMIS","Bus Data Netwks"
"CMIS","Business Programming with Pl/I"
"CMIS","CIS Internship"
"CMIS","Cis Ind. Study"
"CMIS","Client/Server Cmptg"
"CMIS","Comp Apps in Healthcare"
"CMIS","Computer Graphics"
"CMIS","Computer Literacy"
"CMIS","Computer Networks"
"CMIS","Contemporary Comp Apps"
"CMIS","Data St For Bus Appl"
"CMIS","Database Management Systems"
"CMIS","Database Syst Des & Mgmt"
"CMIS","Digital Media"
"CMIS","Dist/Client/Serv Com"
"CMIS","Fndtn Cis Using C++"
"CMIS","Found/Comp Info Syst"
"CMIS","Fund of Electronic Commerce"
"CMIS","Independent Study"
"CMIS","Information Security"
"CMIS","Internet & Emerg Technlgy"
"CMIS","Introduction to Programming"
"CMIS","Machine Org and Assembler Lang"
"CMIS","Network Operating Systems"
"CMIS","Operating Systems"
"CMIS","RPG Programming"
"CMIS","Special Topics"
"CMIS","Special Topics Info Technology"
"CMIS","Srvy of Comp Prgrmmng Lang"
"CMIS","System Develop"
"CMIS","Visual Basic"
"CMIS","Visual C++"
"CMLT","Computer Literacy"
"CMSC","Advanced Topics/Cs"
"CMSC","Algorithms/Bioinform"
"CMSC","Analysis of Algorithms"
"CMSC","Artificial Intelligence"
"CMSC","Assembly Language Programming"
"CMSC","Cobol Lab"
"CMSC","Computer And Network Security"
"CMSC","Computer Architecture"
"CMSC","Computer Science Seminar"
"CMSC","Cs/Telecommunication"
"CMSC","Data Communications"
"CMSC","Data Structures"
"CMSC","Data Structures and Algorithms"
"CMSC","Database Systems"
"CMSC","Digital Systems"
"CMSC","Discrete Structures"
"CMSC","Fortran Programming"
"CMSC","Geographic Information Systems"
"CMSC","Independent Study"
"CMSC","Intelligence Systems"
"CMSC","Internet and Web Technologies"
"CMSC","Into/Elect Gme Des"
"CMSC","Introduction to Computing"
"CMSC","Local/Wide Area Ntwk"
"CMSC","Mobile Application Development"
"CMSC","Network Programming"
"CMSC","Object Progmng/Desig"
"CMSC","Object Programming & Design"
"CMSC","Operating Systems"
"CMSC","Programming Language Paradigms"
"CMSC","Remote Sensing"
"CMSC","Robot Programming"
"CMSC","Sci Prg I/Data Anlys"
"CMSC","Sci. Programing II"
"CMSC","Software Development"
"CMSC","Software Engineering"
"CMSC","Sp Topics/Comp. Sci."
"CMSC","Spc Topics Comp/Sci"
"CMSC","Theoretical Comp Sci"
"CMSC","Unix System Programming"
"CMST","Assembler Lang Lab"
"CMST","Fortran Program Lab"
"CMST","Microcomputers Lab"
"CMST","Pascal Prog Lab"
"CMST","Pl/I Programming Lab"
"COMM","Comm Skills I"
"COMM","Comm Skills II"
"COMM","Comm Skills Lab I"
"COMM","Comm Skills Lab II"
"COMM","Communications I"
"COMM","Communications II"
"COUN","Achievement Motivation"
"COUN","Adv Group Counsling"
"COUN","Advanced Career Planning"
"COUN","Bus. Soph. Seminar"
"COUN","Development of Self-Concept"
"COUN","Fin Plan & Budgeting"
"COUN","Fundamentals of Mentoring"
"COUN","Honors/Cultural Program"
"COUN","Issues in Minority Education"
"COUN","Legacy Of Medgar Eve"
"COUN","Lib Arts Seminar"
"COUN","Parenting Family Rel"
"COUN","Politics You & Commn"
"COUN","Science Sophomore Seminar"
"COUN","Skills for Urban Living"
"DANC","African Dance I"
"DANC","African Dance II"
"DANC","African Dance Ii"
"DANC","African-Caribbean Dance"
"DANC","Composition/Choreography"
"DANC","Dance History"
"DANC","Introduction to Modern Dance"
"DANC","Liturgical/Sacred Dance"
"DANC","Modern Dance"
"DANC","Mov Edu Rhy Ana Tech"
"DANC","Tap I"
"DANC","Tap II"
"DANC","Tap III"
"DANC","Theory & Phil Creative Dance"
